2021-04-01 18:15, 2
2021-04-01 19:17, 2
2021-04-01 20:13, 3
2021-04-01 20:18, 3
2021-04-01 21:01, 3
2021-04-01 21:36, 3
2021-04-02 08:52, 1
2021-04-02 10:02, 3
2021-04-02 11:07, 2
2021-04-02 12:27, 2
2021-04-02 13:18, 2
2021-04-02 16:09, 2
2021-04-02 18:11, 3
2021-04-02 19:40, 6
2021-04-02 22:13, 3
2021-04-02 23:45, 3
2021-04-03 08:53, 3
2021-04-03 12:53, 3
2021-04-03 13:50, 3
2021-04-03 15:29, 3
2021-04-03 16:33, 3
2021-04-03 17:09, 3
2021-04-03 20:16, 3
2021-04-03 22:29, 6
2021-04-03 23:35, 3
2021-04-04 12:32, 3
2021-04-04 12:33, 4
2021-04-04 08:38, 3
2021-04-04 10:34, 3
2021-04-04 11:23, 4
2021-04-04 14:21, 3
2021-04-04 16:20, 6
2021-04-04 18:30, 4
2021-04-04 23:01, 3
2021-04-05 12:34, 3
2021-04-05 10:49, 3
2021-04-05 12:55, 3
2021-04-05 14:06, 1
2021-04-05 14:47, 1
2021-04-05 15:15, 1
2021-04-05 17:20, 1
2021-04-05 18:43, 1
2021-04-06 08:06, 2
2021-04-06 08:29, 2
2021-04-06 11:27, 2
2021-04-06 13:05, 2
2021-04-06 14:33, 3
2021-04-06 15:15, 3
2021-04-06 15:44, 2
2021-04-06 16:05, 3
2021-04-06 16:42, 2
2021-04-06 17:57, 3
2021-04-06 18:33, 3
2021-04-06 21:53, 3
2021-04-07 11:13, 3
2021-04-07 12:14, 1
2021-04-07 12:56, 1
2021-04-07 13:52, 2
2021-04-07 15:02, 2
2021-04-07 16:52, 3
2021-04-07 18:07, 3
2021-04-07 20:06, 3
2021-04-07 20:12, 3
2021-04-07 22:20, 2
